session_id,window_start,window_end,total_edit_count,driver_edit_count,navigator_edit_count,edit_balance_ratio,run_attempt_count,run_success_rate,consecutive_failure_count,error_recovery_seconds_avg,idle_ratio,discussion_note_count,navigator_note_count,role_switch_count,seconds_since_role_switch,session_elapsed_seconds,active_user_dominance,label,label_source,rater
demo_productive_00,1780000000.0,1780000180.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1667,3.0,0.0,0.0,180.0,180.0,0.7778,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000030.0,1780000210.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1667,3.0,0.0,0.0,210.0,210.0,0.8333,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000060.0,1780000240.0,14.0,0.0,0.0,1.0,2.0,0.5,1.0,141.38,0.2222,3.0,0.0,0.0,240.0,240.0,0.8571,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000090.0,1780000270.0,14.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.2778,2.0,0.0,0.0,270.0,270.0,0.8889,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000120.0,1780000300.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333,3.0,0.0,0.0,300.0,300.0,0.8889,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000150.0,1780000330.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3333,2.0,0.0,0.0,330.0,330.0,0.9412,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000180.0,1780000360.0,14.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,0.2778,3.0,0.0,0.0,360.0,360.0,0.9524,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000210.0,1780000390.0,13.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,0.3333,3.0,0.0,0.0,390.0,390.0,0.95,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000240.0,1780000420.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2778,3.0,0.0,0.0,420.0,420.0,0.9412,PRODUCTIVE,synthetic,generator
demo_productive_00,1780000270.0,1780000450.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2778,3.0,0.0,0.0,450.0,450.0,0.9412,PRODUCTIVE,synthetic,generator
