session_id,label,label_source,rater
demo_productive_00,PRODUCTIVE,synthetic,generator
demo_productive_01,PRODUCTIVE,synthetic,generator
demo_productive_02,PRODUCTIVE,synthetic,generator
demo_productive_03,PRODUCTIVE,synthetic,generator
demo_productive_04,PRODUCTIVE,synthetic,generator
demo_productive_05,PRODUCTIVE,synthetic,generator
demo_productive_06,PRODUCTIVE,synthetic,generator
demo_productive_07,PRODUCTIVE,synthetic,generator
demo_productive_08,PRODUCTIVE,synthetic,generator
demo_productive_09,PRODUCTIVE,synthetic,generator
demo_productive_10,PRODUCTIVE,synthetic,generator
demo_productive_11,PRODUCTIVE,synthetic,generator
demo_driver_dominance_00,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_01,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_02,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_03,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_04,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_05,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_06,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_07,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_08,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_09,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_10,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_11,DRIVER_DOMINANCE,synthetic,generator
demo_passive_navigator_00,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_01,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_02,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_03,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_04,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_05,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_06,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_07,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_08,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_09,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_10,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_11,PASSIVE_NAVIGATOR,synthetic,generator
demo_logic_struggle_00,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_01,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_02,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_03,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_04,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_05,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_06,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_07,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_08,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_09,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_10,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_11,LOGIC_STRUGGLE,synthetic,generator
demo_disengaged_00,DISENGAGED,synthetic,generator
demo_disengaged_01,DISENGAGED,synthetic,generator
demo_disengaged_02,DISENGAGED,synthetic,generator
demo_disengaged_03,DISENGAGED,synthetic,generator
demo_disengaged_04,DISENGAGED,synthetic,generator
demo_disengaged_05,DISENGAGED,synthetic,generator
demo_disengaged_06,DISENGAGED,synthetic,generator
demo_disengaged_07,DISENGAGED,synthetic,generator
demo_disengaged_08,DISENGAGED,synthetic,generator
demo_disengaged_09,DISENGAGED,synthetic,generator
demo_disengaged_10,DISENGAGED,synthetic,generator
demo_disengaged_11,DISENGAGED,synthetic,generator
